transaction_id,amount,transaction_hour,failed_attempts,new_device,unusual_location,transaction_count_1hr,fraud
1,15845,8,4,1,0,6,1
2,910,4,4,1,0,9,1
3,38208,5,2,1,1,1,1
4,44782,19,3,1,1,1,1
5,11334,1,1,1,1,8,1
6,6315,23,5,0,1,3,1
7,16900,12,1,0,1,5,0
8,37244,5,2,1,1,1,1
9,22012,4,5,0,1,5,1
10,47241,0,4,0,0,11,1
11,44181,20,0,1,0,6,1
12,16073,21,2,0,1,8,0
13,41140,20,2,1,1,13,1
14,1735,5,3,1,1,14,1
15,819,5,1,0,0,3,0
16,2483,22,2,1,0,3,0
17,5361,15,2,1,1,12,1
18,37869,3,4,1,1,11,1
19,39238,10,4,1,0,11,1
20,17618,23,5,1,0,10,1
21,19819,22,0,0,0,9,0
22,28743,8,3,0,0,4,0
23,6446,22,0,1,1,4,1
24,27530,2,5,1,0,12,1
25,41484,18,4,0,0,7,1
26,25708,7,1,1,1,2,1
27,18992,4,4,0,0,8,1
28,18481,3,3,1,0,6,0
29,2797,23,4,1,0,3,1
30,239,5,3,1,1,9,1
31,19168,1,3,1,0,5,0
32,35823,19,3,1,1,8,1
33,1949,10,5,1,1,7,1
34,1317,3,3,1,0,14,1
35,31601,14,3,0,0,8,1
36,11444,5,1,0,0,7,0
37,3606,21,0,0,0,3,0
38,3940,16,2,1,1,2,1
39,41656,23,0,1,0,7,1
40,30790,5,3,1,0,3,1
41,14552,18,1,1,0,3,0
42,21827,1,4,1,1,2,1
43,10677,14,1,1,0,4,0
44,8842,10,3,1,0,8,0
45,43373,7,1,0,1,12,1
46,43071,18,1,1,1,1,1
47,8483,12,3,0,0,1,0
48,43051,11,5,0,0,12,1
49,11066,4,1,1,0,14,1
50,23947,5,2,1,0,5,0
51,2662,21,2,0,0,11,1
52,23533,3,1,0,1,5,0
53,48605,18,5,1,1,11,1
54,17209,19,4,1,0,12,1
55,45024,0,3,0,0,1,1
56,41044,19,2,1,1,6,1
57,14591,16,4,1,0,1,1
58,35970,11,1,1,0,5,1
59,26581,14,4,0,0,9,1
60,1635,0,0,0,0,12,1
61,3993,13,2,0,0,14,1
62,23989,5,1,1,1,5,1
63,19507,4,3,1,0,6,0
64,1071,10,5,0,0,8,1
65,11703,3,1,0,0,11,1
66,43623,12,3,0,1,1,1
67,13467,10,5,1,1,14,1
68,40807,2,5,0,1,2,1
69,9742,0,1,0,1,9,0
70,45808,5,4,1,0,3,1
71,6923,17,4,1,1,6,1
72,5725,23,5,1,0,5,1
73,211,9,4,0,0,11,1
74,37115,4,0,1,1,2,1
75,26607,22,5,1,1,14,1
76,33813,9,5,0,1,7,1
77,32656,11,3,1,1,4,1
78,11584,1,4,0,1,1,1
79,29177,12,5,0,0,13,1
80,40447,7,0,1,1,4,1
81,25901,1,3,1,1,6,1
82,1066,19,1,1,1,7,1
83,24303,0,5,1,0,7,1
84,24326,4,0,1,1,14,1
85,23297,8,2,1,0,7,0
86,24350,16,0,0,1,3,0
87,8579,8,0,0,1,6,0
88,17312,10,3,1,0,13,1
89,9318,14,1,0,1,8,0
90,21321,23,2,1,0,4,0
91,12235,5,4,0,0,13,1
92,21293,22,4,0,0,8,1
93,39149,2,0,0,1,2,1
94,8621,16,3,1,1,10,1
95,40026,4,3,0,1,9,1
96,38094,11,4,1,0,9,1
97,49266,17,2,0,1,8,1
98,49034,13,1,0,0,10,1
